links,names,address,ratings,price for two,cuisine
https://www.zomato.com/pune/teera-wakad/info,Teera/,N/A,4.1,"₹1,800 for two","North Indian, Continental, Mughlai, Chinese, Fast Food, Desserts, Beverages, Shake"
https://www.zomato.com/pune/angrezi-dhaba-baner/info,Angrezi Dhaba/,N/A,New,"₹1,600 for two","Modern Indian, Bar Food, Chinese, Pasta, Seafood, Asian, Desserts, Beverages"
https://www.zomato.com/pune/skye-rooftop-by-eternia-magarpatta/info,SKYE - Rooftop By Eternia/,N/A,4.3,"₹1,100 for two","North Indian, Chinese, Oriental, Continental, Italian, Mughlai, Kebab, Desserts"
https://www.zomato.com/pune/roots-9-kitchen-bar-erandwane/info,Roots 9 Kitchen & Bar/,N/A,4.1,"₹1,700 for two","Asian, Salad, Continental, North Indian, Mughlai, Seafood, Desserts, Beverages"
https://www.zomato.com/pune/h1-lounge-ravet/info,H1 Lounge/,N/A,4.5,"₹2,000 for two","Continental, North Indian, Oriental, Modern Indian, Italian, Pizza, Pasta, Desserts"
https://www.zomato.com/pune/the-3-musketeers-pub-viman-nagar/info,The 3 Musketeers Pub/,N/A,4.3,"₹1,700 for two","North Indian, Continental, Oriental, Pasta"
https://www.zomato.com/pune/asia-kitchen-by-mainland-china-wakad/info,Asia Kitchen By Mainland China/,N/A,4.5,"₹1,500 for two","Asian, Chinese, Sushi, Thai, Japanese, Beverages"
https://www.zomato.com/pune/beetroot-bistro-koregaon-park/info,Beetroot Bistro/,N/A,4.3,"₹1,600 for two","Healthy Food, Chinese, Sandwich, Italian, Fast Food, Continental, Desserts, Beverages"
https://www.zomato.com/pune/tyk-tyk-2-kharadi/info,Tyk Tyk/,N/A,4.3,"₹1,000 for two","North Indian, Chinese, Biryani, South Indian, Momos, Street Food, Desserts, Beverages"
https://www.zomato.com/pune/24k-kraft-brewzz-viman-nagar/info,24K Kraft Brewzz/,N/A,4.3,"₹1,700 for two","Chinese, Fast Food, North Indian, Seafood, Mughlai, Biryani, Italian, Asian"
https://www.zomato.com/pune/sante-spa-cuisine-baner/info,Sante Spa Cuisine/,N/A,4.5,"₹1,200 for two","Cafe, Healthy Food, Mediterranean, Continental, Desserts"
https://www.zomato.com/pune/al-di-la-conrad-pune-bund-garden/info,Al Di La - Conrad Pune/,N/A,4.7,"₹5,500 for two","Italian, Bar Food, Desserts, Beverages"
https://www.zomato.com/pune/backstage-viman-nagar/info,Backstage/,N/A,4.2,"₹2,600 for two","North Indian, Salad, Chinese, Mughlai, Pizza, Fast Food, Thai, Beverages"
https://www.zomato.com/pune/xero-degrees-deccan-gymkhana/info,Xero Degrees/,N/A,4.4,₹800 for two,"Cafe, Fast Food, Salad, Pizza, Burger, Waffle, Shake, Beverages"
https://www.zomato.com/pune/ttf-the-tenth-floor-baner/info,TTF - The Tenth Floor/,N/A,4.1,"₹1,800 for two","Finger Food, Chinese, Pizza, Italian, North Indian, Oriental, Bar Food, Beverages"
https://www.zomato.com/pune/terrace-by-bailamos-balewadi/info,Terrace By Bailamos/,N/A,4.2,"₹3,000 for two",Asian
https://www.zomato.com/pune/prems-baner/info,Prem's/,N/A,4.3,"₹1,600 for two","North Indian, Chinese, Continental, Pizza, Pasta, Sichuan"
https://www.zomato.com/pune/mainland-china-senapati-bapat-road/info,Mainland China/,N/A,4.5,"₹2,000 for two","Chinese, Japanese, Korean, Sushi, Seafood, Oriental, Beverages, Bar Food"
https://www.zomato.com/pune/sarovarr-a-multi-cuisine-restaurant-bhugaon/info,Sarovarr A Multi Cuisine Restaurant/,N/A,3.8,"₹1,200 for two","North Indian, Chinese, Continental, Fast Food, Biryani, Seafood"
https://www.zomato.com/pune/maharaja-bhog-senapati-bapat-road/info,Maharaja Bhog/,N/A,4.6,"₹1,400 for two",North Indian
https://www.zomato.com/pune/le-parc-hinjawadi/info,Le Parc/,N/A,4.2,"₹1,200 for two","North Indian, Chinese, Oriental, Italian, American, Salad, Desserts, Beverages"
